0	95	94	3735	98060
1	72	94	6424	182826
2	49	95	32452	946825
3	27	95	27544	810627
4	27	72	23664	691397
5	49	72	36713	1064265
6	49	27	26536	789268
7	73	72	3381	75155
8	82	87	9204	265915
9	89	87	10452	317558
10	84	87	12476	385036
11	89	82	4807	128208
12	84	82	10485	313857
13	83	87	11537	338790
14	83	89	7389	230628
15	86	84	2079	52222
16	88	86	16400	505769
17	85	86	30668	971345
18	82	86	10076	305623
19	88	82	21044	600348
20	85	82	30371	927398
21	85	88	19726	557803
22	89	85	27827	888522
23	58	85	13729	430897
24	4	85	16695	508227
25	3	85	22386	692161
26	59	58	3837	104064
27	4	58	23475	722777
28	3	58	23546	678581
29	88	58	18267	514099
30	15	59	16677	517403
31	3	4	6714	187018
32	15	88	25801	770395
33	16	15	4192	114006
34	90	16	28156	838437
35	61	90	21076	676982
36	3	61	16634	477556
37	12	4	21835	659485
38	12	3	19401	571288
39	10	3	17074	519159
40	10	61	12398	383699
41	10	12	5677	162656
42	5	10	2391	57346
43	8	5	1881	41190
44	8	12	6271	180574
45	9	10	3535	92155
46	90	49	24394	777015
47	99	49	35550	1112738
48	53	49	33840	985622
49	79	49	39339	1127240
50	99	90	23751	707206
51	16	99	5695	162818
52	54	99	23280	715920
53	54	16	25089	786125
54	44	53	22107	686667
55	44	79	24174	726393
56	55	54	3440	85929
57	44	55	20088	614255
58	26	55	7670	224111
59	26	44	12874	391945
60	55	79	20952	652072
61	9	5	2111	42711
62	9	8	1696	38918
63	9	61	14153	434841
64	6	9	6693	182288
65	14	6	13246	389636
66	13	14	3234	77811
67	11	14	6907	193249
68	9	14	18556	546931
69	11	13	5433	140327
70	60	11	9769	210937
71	61	60	24833	693374
72	90	60	28305	879306
73	90	27	17387	554998
74	11	73	30053	862363
75	13	73	33071	951620
76	60	73	31666	833604
77	7	14	9115	243992
78	7	6	6136	176134
79	55	53	31004	984234
80	16	32	26306	836293
81	16	31	27188	868369
82	70	84	11348	332638
83	70	86	10936	321467
84	70	32	8722	259519
85	70	71	5830	171389
86	47	29	5422	155815
87	28	29	10984	324968
88	28	97	5396	148247
89	28	26	17563	534359
90	96	44	14919	434476
91	96	97	4814	127268
92	47	71	20988	633901
93	47	55	23140	701903
94	47	26	19578	559005
95	32	47	23328	716746
96	46	31	3785	103850
97	45	47	7348	213118
98	45	46	8570	253133
99	84	2	16859	514162
100	87	2	24618	699353
101	84	48	21201	652855
102	87	36	14612	437495
103	36	37	5003	129016
104	36	48	9559	281063
105	37	48	9983	302339
106	1	37	15964	499965
107	23	37	20303	622932
108	25	37	24304	762044
109	0	48	12559	382893
110	25	1	8592	263292
111	0	1	4995	150361
112	25	0	8167	241230
113	23	25	15970	425829
114	20	25	17909	561374
115	20	23	9046	264982
116	22	23	13667	415254
117	24	23	14443	442691
118	22	20	7524	227291
119	24	20	11692	319291
120	24	22	4724	135359
121	21	22	12175	379794
122	21	24	14447	453591
123	70	2	17651	544919
124	80	2	7477	220934
125	80	48	10708	336729
126	80	0	12837	383864
127	80	81	11445	341357
128	80	47	14890	456022
129	81	47	16148	497495
130	30	47	13237	389917
131	30	28	10542	292255
132	43	28	12060	349357
133	69	28	14277	394020
134	43	30	13755	410268
135	69	30	12717	368293
136	42	43	4994	145875
137	69	42	3602	94551
138	67	69	6508	186296
139	98	67	13664	405123
140	76	67	7668	214092
141	76	98	12275	366423
142	81	35	9470	282397
143	30	35	6590	184226
144	35	33	3469	87816
145	34	33	2537	41049
146	35	66	5733	160104
147	34	66	5126	133205
148	30	66	6644	174569
149	68	66	6012	171610
150	30	68	9630	282132
151	78	20	15055	472590
152	78	25	11671	350505
153	81	25	13518	401299
154	50	25	13678	394450
155	50	78	5378	149359
156	52	78	12230	363195
157	81	50	22917	658777
158	51	50	5377	148625
159	51	52	4696	123311
160	81	51	25241	747903
161	91	52	9157	274915
162	91	51	11170	325774
163	98	50	14749	425145
164	98	91	17150	509673
165	98	34	9900	283423
166	34	50	22858	644340
167	76	68	10384	297587
168	74	76	11652	327268
169	18	76	14325	393798
170	75	74	6569	172721
171	40	74	4952	128266
172	40	75	6309	170165
173	40	39	2290	52191
174	18	40	3685	62185
175	91	18	6542	174991
176	92	91	6308	172060
177	19	40	6517	150394
178	19	75	4969	133024
179	63	67	10876	304480
180	65	63	8478	242044
181	76	63	11857	345483
182	62	65	8014	233832
183	74	65	14074	406027
184	64	62	9192	244622
185	17	62	6443	180834
186	57	64	4515	106600
187	74	64	10183	274278
188	17	64	7857	190079
189	40	57	8009	218114
190	40	57	8009	218114
191	77	17	5809	118662
192	38	17	5986	164685
193	93	17	11057	322529
194	38	77	3489	81914
195	56	38	4121	109295
196	41	38	9406	260302
197	93	38	10067	290278
198	62	38	9625	273148
199	93	56	6578	192099
200	41	56	9017	262927
201	61	16	38982	1204093
202	58	10	39706	1219914
203	58	70	28304	871139
